id,state
1_00046,flights_3-airlines=southwest|flights_3-departure_date=the 3rd|flights_3-destination_airport_name=1|flights_3-destination_city=vancouver|flights_3-flight_class=southwest|flights_3-inbound_arrival_time=9:40 am|flights_3-inbound_departure_time=9:40 am|flights_3-number_checked_bags=0|flights_3-origin_airport_name=1|flights_3-origin_city=vancouver|flights_3-outbound_arrival_time=9:40 am|flights_3-outbound_departure_time=9:40 am|flights_3-passengers=1|flights_3-return_date=the 3rd
1_00047,flights_3-airlines=alaska|flights_3-arrives_next_day=13|flights_3-departure_date=13th of this month|flights_3-destination_city=san francisco|flights_3-flight_class=one-way flights with alaska airlines|flights_3-inbound_arrival_time=6:17 pm|flights_3-inbound_departure_time=4:10 pm|flights_3-origin_airport_name=13|flights_3-origin_city=phoenix|flights_3-outbound_arrival_time=6:17 pm|flights_3-outbound_departure_time=4:10 pm|flights_3-return_date=13th of this month
1_00048,flights_3-airlines=american|flights_3-arrives_next_day=yes|flights_3-departure_date=next tuesday|flights_3-destination_city=san francisco|flights_3-flight_class=economy|flights_3-inbound_arrival_time=4:10 am|flights_3-inbound_departure_time=4:10 am|flights_3-number_stops=10 am local time is okay for you? the itinerary has 1|flights_3-origin_airport_name=plan|flights_3-origin_city=plan|flights_3-outbound_arrival_time=4:10 am|flights_3-outbound_departure_time=4:10 am|flights_3-return_date=next tuesday
1_00049,flights_3-airlines=american|flights_3-arrives_next_day=no|flights_3-departure_date=the 11th|flights_3-destination_city=vancouver|flights_3-flight_class=american|flights_3-inbound_arrival_time=1:30 am|flights_3-inbound_departure_time=1:30 am|flights_3-number_checked_bags=277|flights_3-number_stops=11|flights_3-origin_airport_name=4 flights that would work. air canada|flights_3-origin_city=vancouver|flights_3-outbound_arrival_time=1:30 am|flights_3-outbound_departure_time=1:30 am|flights_3-passengers=11|flights_3-return_date=the 11th
1_00050,flights_3-arrives_next_day=american|flights_3-departure_date=next thursday|flights_3-destination_city=new york|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=6:50 pm|flights_3-inbound_departure_time=6:50 pm|flights_3-number_checked_bags=0|flights_3-number_stops=1|flights_3-origin_city=new york|flights_3-outbound_arrival_time=6:50 pm|flights_3-outbound_departure_time=6:50 pm|flights_3-passengers=1|flights_3-return_date=next thursday
1_00051,flights_3-airlines=american|flights_3-arrives_next_day=yes|flights_3-departure_date=13th of this month|flights_3-destination_city=atlanta|flights_3-flight_class=economy|flights_3-inbound_arrival_time=9:40 am|flights_3-inbound_departure_time=9:40 am|flights_3-origin_city=atlanta|flights_3-outbound_arrival_time=9:40 am|flights_3-outbound_departure_time=9:40 am|flights_3-return_date=13th of this month
1_00052,flights_3-airlines=air canada|flights_3-departure_date=march 7th|flights_3-destination_city=toronto|flights_3-flight_class=air canada|flights_3-inbound_arrival_time=5:35 pm|flights_3-inbound_departure_time=5:35 pm|flights_3-number_checked_bags=1|flights_3-origin_city=toronto|flights_3-outbound_arrival_time=5:35 pm|flights_3-outbound_departure_time=5:35 pm|flights_3-passengers=1|flights_3-return_date=march 7th
1_00053,flights_3-arrives_next_day=no|flights_3-departure_date=march 3rd|flights_3-destination_city=chicago|flights_3-flight_class=economy|flights_3-inbound_arrival_time=10:20 pm|flights_3-inbound_departure_time=10:20 pm|flights_3-number_checked_bags=zero|flights_3-origin_city=chicago|flights_3-outbound_arrival_time=10:20 pm|flights_3-outbound_departure_time=10:20 pm|flights_3-passengers=3|flights_3-return_date=march 3rd
1_00054,flights_3-airlines=united airlines|flights_3-arrives_next_day=no|flights_3-departure_date=march 4th|flights_3-destination_city=las vegas|flights_3-flight_class=united airlines have with economy|flights_3-inbound_arrival_time=11 am|flights_3-inbound_departure_time=11 am|flights_3-number_checked_bags=0|flights_3-origin_city=paris|flights_3-outbound_arrival_time=11 am|flights_3-outbound_departure_time=11 am|flights_3-passengers=1|flights_3-return_date=march 4th
1_00055,flights_3-airlines=alaska|flights_3-arrives_next_day=friday|flights_3-departure_date=friday next week|flights_3-destination_city=san francisco|flights_3-flight_class=alaska airlines|flights_3-inbound_arrival_time=4:45 pm|flights_3-inbound_departure_time=4:45 pm|flights_3-origin_city=san francisco|flights_3-outbound_arrival_time=4:45 pm|flights_3-outbound_departure_time=4:45 pm|flights_3-return_date=friday next week
1_00056,flights_3-airlines=united airlines|flights_3-arrives_next_day=no|flights_3-departure_date=march 2nd|flights_3-destination_airport_name=1|flights_3-destination_city=las vegas|flights_3-flight_class=united airlines|flights_3-inbound_arrival_time=5:55 pm|flights_3-inbound_departure_time=4:20 pm|flights_3-origin_airport_name=1|flights_3-origin_city=las vegas|flights_3-outbound_arrival_time=5:55 pm|flights_3-outbound_departure_time=4:20 pm|flights_3-passengers=1|flights_3-return_date=march 2nd
1_00057,flights_3-airlines=itinerary|flights_3-departure_date=the 6th|flights_3-destination_city=las vegas|flights_3-flight_class=itinerary|flights_3-inbound_arrival_time=4:10 pm|flights_3-inbound_departure_time=4:10 pm|flights_3-number_stops=1|flights_3-origin_airport_name=seattleok|flights_3-origin_city=las vegas|flights_3-outbound_arrival_time=4:10 pm|flights_3-outbound_departure_time=4:10 pm|flights_3-passengers=1|flights_3-return_date=the 6th
1_00058,flights_3-airlines=southwest|flights_3-arrives_next_day=1|flights_3-departure_date=1st of march|flights_3-destination_city=san diego|flights_3-flight_class=southwest airlines|flights_3-inbound_arrival_time=6:35 pm|flights_3-inbound_departure_time=6:35 pm|flights_3-origin_city=san diego|flights_3-outbound_arrival_time=6:35 pm|flights_3-outbound_departure_time=6:35 pm|flights_3-return_date=1st of march
1_00059,flights_3-airlines=american|flights_3-departure_date=11th of march|flights_3-destination_city=nairobi|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=8:45 am|flights_3-inbound_departure_time=8:45 am|flights_3-number_stops=11|flights_3-origin_city=nairobi|flights_3-outbound_arrival_time=8:45 am|flights_3-outbound_departure_time=8:45 am|flights_3-return_date=11th of march
1_00060,flights_3-airlines=american|flights_3-arrives_next_day=7th of this month|flights_3-departure_date=7th of this month|flights_3-destination_city=las vegas|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=6:50 pm|flights_3-inbound_departure_time=6:50 pm|flights_3-origin_city=las vegas|flights_3-outbound_arrival_time=6:50 pm|flights_3-outbound_departure_time=6:50 pm|flights_3-return_date=7th of this month
1_00061,flights_3-airlines=alaska|flights_3-arrives_next_day=no|flights_3-departure_date=the 12th|flights_3-destination_airport_name=12|flights_3-destination_city=san diego|flights_3-flight_class=alaska airlines|flights_3-inbound_arrival_time=11:10 am|flights_3-inbound_departure_time=11:10 am|flights_3-number_checked_bags=2|flights_3-number_stops=11|flights_3-origin_airport_name=12|flights_3-origin_city=san diego|flights_3-outbound_arrival_time=11:10 am|flights_3-outbound_departure_time=11:10 am|flights_3-passengers=2|flights_3-return_date=the 12th
1_00062,flights_3-airlines=delta airlines|flights_3-arrives_next_day=march|flights_3-departure_date=9th of march|flights_3-destination_city=new york|flights_3-flight_class=1|flights_3-inbound_arrival_time=6:40 pm|flights_3-inbound_departure_time=6:40 pm|flights_3-number_stops=1|flights_3-origin_city=new york|flights_3-outbound_arrival_time=6:40 pm|flights_3-outbound_departure_time=6:40 pm|flights_3-return_date=9th of march
1_00063,flights_3-airlines=american|flights_3-arrives_next_day=1st of march|flights_3-departure_date=1st of march|flights_3-destination_city=san francisco|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=2:35 pm|flights_3-inbound_departure_time=2:35 pm|flights_3-origin_city=san francisco|flights_3-outbound_arrival_time=2:35 pm|flights_3-outbound_departure_time=2:35 pm|flights_3-return_date=1st of march
1_00064,flights_3-airlines=landing airport|flights_3-departure_date=march 14th|flights_3-destination_airport_name=14|flights_3-destination_city=sydney|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=10 pm|flights_3-inbound_departure_time=10 pm|flights_3-origin_airport_name=14|flights_3-origin_city=sydney|flights_3-outbound_arrival_time=10 pm|flights_3-outbound_departure_time=10 pm|flights_3-return_date=march 14th
1_00065,flights_3-airlines=american airlines takes off at 5:05 am whose itinerary has 1 layovers|flights_3-arrives_next_day=yes|flights_3-departure_date=march 14th|flights_3-destination_city=seattle|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=5:05 am|flights_3-inbound_departure_time=5:05 am|flights_3-number_checked_bags=14|flights_3-number_stops=14|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=5:05 am|flights_3-outbound_departure_time=5:05 am|flights_3-passengers=14|flights_3-return_date=march 14th
1_00066,flights_3-airlines=american|flights_3-departure_date=the 10th|flights_3-destination_city=new york|flights_3-flight_class=american airlines|flights_3-inbound_departure_time=5 am|flights_3-origin_city=new york|flights_3-outbound_departure_time=5 am|flights_3-return_date=the 10th
1_00067,flights_3-airlines=american|flights_3-arrives_next_day=the 6th?from where will you fly?i'm taking off from mexico|flights_3-departure_date=the 6th|flights_3-destination_city=mexico|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=11:40 am|flights_3-inbound_departure_time=11:40 am|flights_3-origin_city=mexico|flights_3-outbound_arrival_time=11:40 am|flights_3-outbound_departure_time=11:40 am|flights_3-return_date=the 6th
1_00068,flights_3-airlines=delta|flights_3-arrives_next_day=march 11th|flights_3-departure_date=march 11th|flights_3-destination_airport_name=11|flights_3-destination_city=airport city|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=6:25 pm|flights_3-inbound_departure_time=6:25 pm|flights_3-number_checked_bags=zero|flights_3-number_stops=11|flights_3-origin_airport_name=11|flights_3-origin_city=airport city|flights_3-outbound_arrival_time=6:25 pm|flights_3-outbound_departure_time=6:25 pm|flights_3-passengers=11|flights_3-return_date=march 11th
1_00069,flights_3-airlines=american|flights_3-arrives_next_day=no|flights_3-departure_date=march 12th|flights_3-destination_airport_name=plan|flights_3-destination_city=vancouver|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=11 am|flights_3-inbound_departure_time=11 am|flights_3-origin_airport_name=plan|flights_3-origin_city=vancouver|flights_3-outbound_arrival_time=11 am|flights_3-outbound_departure_time=11 am|flights_3-return_date=march 12th
1_00070,flights_3-airlines=delta|flights_3-arrives_next_day=no|flights_3-departure_date=march 11th|flights_3-destination_city=atlanta|flights_3-flight_class=economy|flights_3-inbound_arrival_time=9:50 am|flights_3-inbound_departure_time=9:50 am|flights_3-number_checked_bags=1|flights_3-origin_city=atlanta|flights_3-outbound_arrival_time=9:50 am|flights_3-outbound_departure_time=9:50 am|flights_3-passengers=1|flights_3-return_date=march 11th
1_00071,flights_3-airlines=american|flights_3-arrives_next_day=no|flights_3-departure_date=8th of this month|flights_3-destination_city=new york|flights_3-flight_class=economy|flights_3-inbound_arrival_time=4:10 am|flights_3-inbound_departure_time=4:10 am|flights_3-origin_city=new york|flights_3-outbound_arrival_time=4:10 am|flights_3-outbound_departure_time=4:10 am|flights_3-return_date=8th of this month
1_00072,flights_3-arrives_next_day=washington|flights_3-departure_date=friday next week|flights_3-destination_city=washington|flights_3-inbound_arrival_time=4:10 am|flights_3-inbound_departure_time=4:10 am|flights_3-origin_city=washington|flights_3-outbound_arrival_time=4:10 am|flights_3-outbound_departure_time=4:10 am|flights_3-return_date=friday next week
1_00073,flights_3-airlines=delta airlines|flights_3-arrives_next_day=no|flights_3-departure_date=11th of march|flights_3-destination_airport_name=11|flights_3-destination_city=sydney|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=3:55 pm|flights_3-inbound_departure_time=3:55 pm|flights_3-number_checked_bags=11|flights_3-number_stops=11|flights_3-origin_city=sydney|flights_3-outbound_arrival_time=3:55 pm|flights_3-outbound_departure_time=3:55 pm|flights_3-passengers=11|flights_3-return_date=11th of march
1_00074,flights_3-airlines=alaska|flights_3-departure_date=march 4th|flights_3-destination_city=atlanta|flights_3-flight_class=alaska airlines|flights_3-inbound_arrival_time=6:55 pm|flights_3-inbound_departure_time=6:55 pm|flights_3-number_checked_bags=zero|flights_3-origin_city=atlanta|flights_3-outbound_arrival_time=6:55 pm|flights_3-outbound_departure_time=6:55 pm|flights_3-passengers=5|flights_3-return_date=march 4th
1_00075,flights_3-airlines=alaska|flights_3-arrives_next_day=no|flights_3-departure_date=saturday|flights_3-destination_city=los angeles|flights_3-flight_class=economy|flights_3-inbound_arrival_time=3:56 pm|flights_3-inbound_departure_time=4:55 am|flights_3-origin_city=los angeles|flights_3-outbound_arrival_time=3:56 pm|flights_3-outbound_departure_time=4:55 am|flights_3-return_date=this saturday
1_00076,flights_3-airlines=air canada|flights_3-arrives_next_day=14th of march|flights_3-departure_date=14th of march|flights_3-destination_city=vancouver|flights_3-flight_class=economy|flights_3-inbound_arrival_time=12:15 pm|flights_3-inbound_departure_time=12:15 pm|flights_3-number_checked_bags=zero|flights_3-origin_city=vancouver|flights_3-outbound_arrival_time=12:15 pm|flights_3-outbound_departure_time=12:15 pm|flights_3-return_date=14th of march
1_00077,flights_3-airlines=southwest airlines|flights_3-arrives_next_day=economy|flights_3-departure_date=8th of this month|flights_3-destination_airport_name=187|flights_3-destination_city=seattle|flights_3-flight_class=economy|flights_3-inbound_arrival_time=7:15 pm|flights_3-inbound_departure_time=7:15 pm|flights_3-number_checked_bags=0|flights_3-origin_airport_name=187|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=7:15 pm|flights_3-outbound_departure_time=7:15 pm|flights_3-passengers=0|flights_3-return_date=8th of this month
1_00078,flights_3-airlines=southwest airlines|flights_3-arrives_next_day=no|flights_3-departure_date=march 5thi|flights_3-destination_airport_name=1|flights_3-destination_city=atlanta|flights_3-flight_class=southwest airlines|flights_3-inbound_arrival_time=6:40 am|flights_3-inbound_departure_time=3:30 pm|flights_3-number_checked_bags=0|flights_3-origin_airport_name=1|flights_3-origin_city=atlanta|flights_3-outbound_arrival_time=6:40 am|flights_3-outbound_departure_time=3:30 pm|flights_3-passengers=1|flights_3-return_date=march 5thi
1_00079,flights_3-airlines=american|flights_3-arrives_next_day=not|flights_3-departure_date=13th of this month|flights_3-destination_city=seattle|flights_3-flight_class=american|flights_3-inbound_arrival_time=8:42 pm|flights_3-inbound_departure_time=1:40 pm|flights_3-number_checked_bags=zero|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=8:42 pm|flights_3-outbound_departure_time=1:40 pm|flights_3-passengers=11|flights_3-return_date=13th of this month
1_00080,flights_3-airlines=american|flights_3-arrives_next_day=american|flights_3-departure_date=9th of march|flights_3-destination_airport_name=1|flights_3-destination_city=portland|flights_3-flight_class=american|flights_3-inbound_arrival_time=4:50 pm|flights_3-inbound_departure_time=4:50 pm|flights_3-number_checked_bags=1|flights_3-origin_airport_name=1|flights_3-origin_city=portland|flights_3-outbound_arrival_time=4:50 pm|flights_3-outbound_departure_time=4:50 pm|flights_3-return_date=9th of march
1_00081,flights_3-airlines=delta|flights_3-arrives_next_day=tomorrow|flights_3-departure_date=march 4th|flights_3-destination_airport_name=247|flights_3-destination_city=new york|flights_3-flight_class=british airways|flights_3-inbound_arrival_time=11:50 am|flights_3-inbound_departure_time=11:50 am|flights_3-number_checked_bags=247|flights_3-number_stops=247 per headtry some thing elsehow about british airways_ which takes off at 11|flights_3-origin_airport_name=1|flights_3-origin_city=new york|flights_3-outbound_arrival_time=11:50 am|flights_3-outbound_departure_time=5:30 pm|flights_3-passengers=247 per headtry some thing elsehow about british airways_ which takes off at 11|flights_3-return_date=march 4th
1_00082,flights_3-airlines=united|flights_3-arrives_next_day=march 9th|flights_3-departure_date=march 9th|flights_3-destination_airport_name=1|flights_3-destination_city=seattle|flights_3-flight_class=united airlines|flights_3-inbound_arrival_time=11:50 am|flights_3-inbound_departure_time=11:50 am|flights_3-number_checked_bags=1|flights_3-origin_airport_name=1|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=11:50 am|flights_3-outbound_departure_time=11:50 am|flights_3-passengers=1|flights_3-return_date=march 9th
1_00083,flights_3-airlines=american|flights_3-arrives_next_day=ok|flights_3-departure_date=march 11th|flights_3-destination_city=los angeles|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=4:50 am|flights_3-inbound_departure_time=4:50 am|flights_3-number_checked_bags=1|flights_3-origin_city=las vegas|flights_3-outbound_arrival_time=4:50 am|flights_3-outbound_departure_time=4:50 am|flights_3-passengers=1|flights_3-return_date=march 11th
1_00084,flights_3-airlines=american|flights_3-arrives_next_day=4th of march|flights_3-departure_date=4th of march|flights_3-destination_city=chicago|flights_3-flight_class=economy|flights_3-inbound_arrival_time=2:25 am|flights_3-inbound_departure_time=2:25 am|flights_3-number_checked_bags=1|flights_3-origin_city=chicago|flights_3-outbound_arrival_time=2:25 am|flights_3-outbound_departure_time=2:25 am|flights_3-passengers=1|flights_3-return_date=4th of march
1_00085,flights_3-airlines=american|flights_3-arrives_next_day=chicago|flights_3-departure_date=tuesday next week|flights_3-destination_city=nairobi_ with my destination being chicago|flights_3-flight_class=american|flights_3-inbound_arrival_time=9:40 am|flights_3-inbound_departure_time=7:40 am|flights_3-origin_city=nairobi_ with my destination being chicago|flights_3-outbound_arrival_time=9:40 am|flights_3-outbound_departure_time=7:40 am|flights_3-return_date=thursday next week
1_00086,flights_3-airlines=alaska airlines|flights_3-arrives_next_day=no|flights_3-departure_date=12th of this month|flights_3-destination_airport_name=10|flights_3-destination_city=seattle|flights_3-flight_class=economy|flights_3-inbound_arrival_time=11:50 am|flights_3-inbound_departure_time=11:50 am|flights_3-number_checked_bags=0|flights_3-number_stops=10|flights_3-origin_airport_name=10|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=11:50 am|flights_3-outbound_departure_time=11:50 am|flights_3-passengers=2|flights_3-return_date=12th of this month
1_00087,flights_3-airlines=united|flights_3-departure_date=the 3rd|flights_3-destination_city=new york|flights_3-flight_class=economy|flights_3-inbound_arrival_time=11:15 am|flights_3-inbound_departure_time=11:15 am|flights_3-number_checked_bags=1|flights_3-origin_airport_name=1|flights_3-origin_city=new york|flights_3-outbound_arrival_time=11:15 am|flights_3-outbound_departure_time=11:15 am|flights_3-passengers=1|flights_3-return_date=the 3rd
1_00088,flights_3-airlines=delta|flights_3-arrives_next_day=11|flights_3-departure_date=11th of march|flights_3-destination_airport_name=1|flights_3-destination_city=new york|flights_3-flight_class=air canada|flights_3-inbound_arrival_time=1:40 am|flights_3-inbound_departure_time=1:40 am|flights_3-number_checked_bags=0|flights_3-number_stops=1|flights_3-origin_airport_name=1|flights_3-origin_city=new york|flights_3-outbound_arrival_time=1:40 am|flights_3-outbound_departure_time=1:40 am|flights_3-passengers=1|flights_3-return_date=11th of march
1_00089,flights_3-airlines=delta|flights_3-arrives_next_day=11th of march|flights_3-departure_date=march 13th|flights_3-destination_airport_name=11|flights_3-destination_city=phoenix|flights_3-flight_class=delta|flights_3-inbound_arrival_time=10:02 pm|flights_3-inbound_departure_time=11:45 am|flights_3-origin_airport_name=11|flights_3-origin_city=phoenix|flights_3-outbound_arrival_time=10:02 pm|flights_3-outbound_departure_time=11:45 am|flights_3-return_date=march 13th
1_00090,flights_3-airlines=united|flights_3-arrives_next_day=american|flights_3-departure_date=the 12th|flights_3-destination_airport_name=228|flights_3-destination_city=los angeles|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=1:50 am|flights_3-inbound_departure_time=5 am|flights_3-number_checked_bags=228|flights_3-number_stops=228|flights_3-origin_airport_name=228|flights_3-origin_city=los angeles|flights_3-outbound_arrival_time=1:50 am|flights_3-outbound_departure_time=5 am|flights_3-passengers=228|flights_3-return_date=the 12th
1_00091,flights_3-airlines=delta airlines|flights_3-arrives_next_day=yes|flights_3-departure_date=4th of this month|flights_3-destination_airport_name=delta airlines|flights_3-destination_city=chicago from washington|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=4:20 am|flights_3-inbound_departure_time=4:20 am|flights_3-number_stops=40|flights_3-origin_airport_name=40|flights_3-origin_city=chicago|flights_3-outbound_arrival_time=4:20 am|flights_3-outbound_departure_time=4:20 am|flights_3-return_date=4th of this month
1_00092,flights_3-airlines=delta|flights_3-arrives_next_day=ok|flights_3-departure_date=13th of march|flights_3-destination_city=new york|flights_3-flight_class=delta|flights_3-inbound_arrival_time=1:25 pm|flights_3-inbound_departure_time=1:25 pm|flights_3-number_checked_bags=11|flights_3-origin_airport_name=11|flights_3-origin_city=new york|flights_3-outbound_arrival_time=1:25 pm|flights_3-outbound_departure_time=1:25 pm|flights_3-passengers=11|flights_3-return_date=13th of march
